('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419719 function calls (406763 primitive calls) in 1.466 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      182    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    42674    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
       18    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       18    0.010    0.001    0.010    0.001 {built-in method posix.listdir}
        1    0.000    0.000    0.010    0.010 certs.py:14(<module>)
      950    0.001    0.000    0.010    0.000 __init__.py:702(handle_endtag)
    18582    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
1854/1048    0.004    0.000    0.009    0.000 element.py:2063(_matches)
        1    0.000    0.000    0.009    0.009 ssl.py:91(<module>)
        1    0.000    0.000    0.009    0.009 cookiejar.py:26(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:24(<module>)
     2055    0.002    0.000    0.008    0.000 __init__.py:533(endData)
        1    0.000    0.000    0.008    0.008 formatter.py:1(<module>)
      917    0.005    0.000    0.008    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
 2462/351    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.008    0.008 core.py:8(<module>)
       19    0.000    0.000    0.008    0.000 response.py:379(_decode)
       20    0.001    0.000    0.007    0.000 response.py:79(decompress)
        1    0.000    0.000    0.007    0.007 mbcsgroupprober.py:30(<module>)
     1730    0.001    0.000    0.007    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.007    0.007 dammit.py:8(<module>)
        1    0.000    0.000    0.007    0.007 resources.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:47(<module>)
      175    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.007    0.007 _htmlparser.py:2(<module>)
       77    0.001    0.000    0.007    0.000 css_parser.py:450(parse_attribute_selector)
     2594    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
       19    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
33461/30299    0.005    0.000    0.006    0.000 {built-in method builtins.len}
      313    0.001    0.000    0.006    0.000 css_parser.py:999(selector_iter)
        1    0.000    0.000    0.006    0.006 financial_enhanced.py:15(<listcomp>)
        1    0.000    0.000    0.006    0.006 parser.py:1(<module>)
       33    0.000    0.000    0.006    0.000 element.py:1737(find)
      208    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
      589    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
    44261    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
      950    0.001    0.000    0.005    0.000 parser.py:352(check_for_whole_start_tag)
     8826    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
      465    0.001    0.000    0.005    0.000 enum.py:284(__call__)
       10    0.000    0.000    0.005    0.001 enum.py:633(_convert)
       14    0.002    0.000    0.005    0.000 enum.py:135(__new__)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        1    0.000    0.000    0.004    0.004 packages.py:1(<module>)
        1    0.000    0.000    0.004    0.004 sessions.py:420(__exit__)
        1    0.000    0.000    0.004    0.004 sessions.py:730(close)
        2    0.000    0.000    0.004    0.002 adapters.py:319(close)
        2    0.000    0.000    0.004    0.002 poolmanager.py:204(clear)
        2    0.000    0.000    0.004    0.002 _collections.py:91(clear)
      171    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
      280    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      262    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
        1    0.000    0.000    0.004    0.004 poolmanager.py:162(<lambda>)
        1    0.004    0.004    0.004    0.004 connectionpool.py:455(close)
      475    0.003    0.000    0.004    0.000 css_types.py:37(__init__)
        1    0.000    0.000    0.004    0.004 sjisprober.py:28(<module>)
  137/132    0.000    0.000    0.004    0.000 css_parser.py:383(freeze)
      364    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      950    0.002    0.000    0.004    0.000 __init__.py:636(_popToTag)
       45    0.000    0.000    0.004    0.000 css_parser.py:997(<listcomp>)
       92    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
       21    0.002    0.000    0.004    0.000 __init__.py:316(namedtuple)
     2922    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     3830    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
       10    0.000    0.000    0.004    0.000 enum.py:389(_create_)
      639    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x1009b07e0}
        1    0.000    0.000    0.004    0.004 models.py:8(<module>)
        1    0.000    0.000    0.003    0.003 header.py:5(<module>)
       20    0.000    0.000    0.003    0.000 response.py:677(_update_chunk_length)
      387    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      232    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:29(<module>)
        1    0.000    0.000    0.003    0.003 cookies.py:127(<module>)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
     2241    0.001    0.000    0.003    0.000 css_parser.py:305(match)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
     2594    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      182    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
     6396    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
      182    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.003    0.003 typing.py:19(<module>)
      205    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       64    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
     1063    0.001    0.000    0.003    0.000 sre_parse.py:295(_class_escape)
     1673    0.003    0.000    0.003    0.000 element.py:158(setup)
        1    0.000    0.000    0.003    0.003 sessions.py:423(prepare_request)
        1    0.000    0.000    0.003    0.003 linecache.py:6(<module>)
        1    0.000    0.000    0.003    0.003 api.py:11(<module>)
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
        1    0.000    0.000    0.003    0.003 chardistribution.py:28(<module>)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
     3656    0.001    0.000    0.002    0.000 abc.py:137(__instancecheck__)
     3888    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
     1863    0.001    0.000    0.002    0.000 element.py:1938(_normalize_search_value)
        1    0.002    0.002    0.002    0.002 models.py:836(text)
      258    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      591    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.002    0.001 request.py:1(<module>)
        1    0.000    0.000    0.002    0.002 dammit.py:68(EntitySubstitution)
        1    0.000    0.000    0.002    0.002 sessions.py:9(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
      273    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      995    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
