('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         419819 function calls (406863 primitive calls) in 1.191 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      455    0.000    0.000    0.001    0.000 enum.py:526(__new__)
      426    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      415    0.001    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      387    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
      376    0.000    0.000    0.000    0.000 typing.py:590(_is_dunder)
      376    0.000    0.000    0.001    0.000 typing.py:704(__setattr__)
      365    0.000    0.000    0.000    0.000 __init__.py:712(handle_data)
      364    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      364    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      361    0.001    0.000    0.002    0.000 __init__.py:568(object_was_parsed)
      361    0.001    0.000    0.002    0.000 element.py:885(__new__)
      350    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      343    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      316    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      313    0.001    0.000    0.007    0.000 css_parser.py:999(selector_iter)
      310    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      300    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      288    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      284    0.003    0.000    0.137    0.000 re.py:271(_compile)
      283    0.000    0.000    0.137    0.000 re.py:232(compile)
      280    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      279    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      274    0.000    0.000    0.000    0.000 types.py:164(__get__)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      273    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      273    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    268/4    0.000    0.000    0.363    0.091 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      266    0.000    0.000    0.000    0.000 os.py:755(decode)
      265    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      265    0.001    0.000    0.001    0.000 enum.py:376(__setattr__)
      262    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      258    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      258    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      258    0.001    0.000    0.002    0.000 sre_compile.py:411(_mk_bitmap)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      232    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      232    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
      232    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
    232/4    0.001    0.000    0.365    0.091 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
    232/4    0.002    0.000    0.365    0.091 <frozen importlib._bootstrap>:978(_find_and_load)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
  227/195    0.002    0.000    0.060    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      225    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      224    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
      224    0.002    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      224    0.000    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      222    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      221    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      220    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
      219    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      215    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  213/212    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    212/4    0.001    0.000    0.364    0.091 <frozen importlib._bootstrap>:663(_load_unlocked)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      208    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
      208    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      208    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
      208    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      208    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      208    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
    205/1    0.002    0.000    1.191    1.191 {built-in method builtins.exec}
      205    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
      205    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
