('Total Revenue', '138,699,000', '125,843,000', '110,360,000', '89,950,000', '85,320,000')
         336945 function calls (327866 primitive calls) in 2.298 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      380    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      301    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     1118    0.000    0.000    0.001    0.000 element.py:1371(get)
      146    0.000    0.000    0.001    0.000 util.py:16(lower)
  137/132    0.000    0.000    0.004    0.000 css_parser.py:383(freeze)
       69    0.000    0.000    0.000    0.000 __init__.py:596(_linkage_fixer)
      173    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      133    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      136    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      133    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      336    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      358    0.000    0.000    0.004    0.000 enum.py:284(__call__)
      927    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      143    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:147(__enter__)
       14    0.000    0.000    0.001    0.000 enum.py:177(<setcomp>)
     1100    0.000    0.000    0.000    0.000 ssl.py:908(_checkClosed)
      951    0.000    0.000    0.000    0.000 __init__.py:434(set_up_substitutions)
      136    0.000    0.000    0.033    0.000 sre_compile.py:598(_code)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
     2518    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2005    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      885    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      245    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:403(cached)
  159/130    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      224    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      136    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
      137    0.000    0.000    0.002    0.000 css_types.py:179(__init__)
       10    0.000    0.000    0.001    0.000 request.py:445(add_handler)
     2196    0.000    0.000    0.000    0.000 element.py:1414(__bool__)
      950    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
       10    0.000    0.000    0.001    0.000 enum.py:654(<listcomp>)
      348    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      112    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
  254/195    0.000    0.000    0.158    0.001 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      316    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
     1590    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      475    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      112    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      995    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.002    0.002 dammit.py:71(_populate_class_variables)
     1704    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      336    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      725    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
       76    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
      288    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      120    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      288    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      519    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
     1045    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      277    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      725    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       68    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
      139    0.000    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      796    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      112    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    175/5    0.000    0.000    0.756    0.151 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
      143    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.000    0.000 ssl.py:1128(_real_close)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(__exit__)
      163    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
      453    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      272    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      136    0.000    0.000    0.000    0.000 sre_parse.py:903(fix_flags)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      240    0.000    0.000    0.098    0.000 re.py:232(compile)
       76    0.000    0.000    0.002    0.000 _htmlparser.py:251(handle_comment)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      882    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       94    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
      365    0.000    0.000    0.000    0.000 __init__.py:712(handle_data)
        1    0.000    0.000    0.000    0.000 stringprep.py:6(<module>)
      358    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      167    0.000    0.000    0.000    0.000 types.py:164(__get__)
      208    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
      143    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      868    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       43    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      137    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       35    0.000    0.000    0.000    0.000 element.py:1900(__init__)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
      327    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
      136    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
    35/27    0.000    0.000    0.015    0.001 css_parser.py:557(parse_pseudo_class)
      208    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
      120    0.000    0.000    0.004    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.101    0.101 css_parser.py:1(<module>)
      669    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.483    0.483 request.py:68(<module>)
        1    0.000    0.000    0.599    0.599 request.py:1275(do_open)
       10    0.000    0.000    0.003    0.000 enum.py:389(_create_)
       18    0.000    0.000    0.807    0.045 client.py:604(_safe_read)
       21    0.000    0.000    0.441    0.021 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.001    0.001 random.py:38(<module>)
        1    0.000    0.000    0.008    0.008 ssl.py:91(<module>)
       64    0.000    0.000    0.003    0.000 _htmlparser.py:104(handle_startendtag)
       50    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
       70    0.000    0.000    0.000    0.000 css_types.py:214(__init__)
       34    0.000    0.000    0.000    0.000 enum.py:830(__or__)
        1    0.000    0.000    0.016    0.016 sbcsgroupprober.py:29(<module>)
      164    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.004    0.004 inspect.py:27(<module>)
       67    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      253    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        9    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
      170    0.000    0.000    0.000    0.000 enum.py:18(_is_descriptor)
        1    0.000    0.000    0.005    0.005 socket.py:47(<module>)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
    31/26    0.000    0.000    0.015    0.001 css_parser.py:704(parse_pseudo_open)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
       38    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        1    0.000    0.000    0.000    0.000 tempfile.py:627(SpooledTemporaryFile)
       10    0.000    0.000    0.005    0.001 client.py:512(_read_next_chunk_size)
    18/11    0.000    0.000    0.173    0.016 {built-in method builtins.__import__}
       36    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       33    0.000    0.000    0.007    0.000 element.py:1737(find)
       93    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      348    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       67    0.000    0.000    0.000    0.000 os.py:673(__getitem__)
      131    0.000    0.000    0.000    0.000 enum.py:628(value)
      166    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       45    0.000    0.000    0.004    0.000 css_parser.py:997(<listcomp>)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x104dfb7a0}
      265    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       10    0.000    0.000    0.005    0.000 enum.py:633(_convert)
        1    0.000    0.000    0.012    0.012 chardistribution.py:28(<module>)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       38    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
        1    0.000    0.000    0.096    0.096 __init__.py:114(__init__)
       28    0.000    0.000    0.437    0.016 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    1.542    1.542 financial_enhanced.py:7(get_row)
      222    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.006    0.006 financial_enhanced.py:15(<listcomp>)
       74    0.000    0.000    0.000    0.000 element.py:1224(_all_strings)
        1    0.000    0.000    0.000    0.000 mbcssm.py:28(<module>)
      221    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
       10    0.000    0.000    0.009    0.001 client.py:542(_get_chunk_left)
       14    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
       35    0.000    0.000    0.021    0.001 element.py:1762(find_all)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      220    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
        1    0.000    0.000    0.040    0.040 client.py:69(<module>)
    21/17    0.000    0.000    0.021    0.001 <frozen importlib._bootstrap_external>:1048(exec_module)
        2    0.000    0.000    0.000    0.000 socket.py:139(__init__)
        1    0.000    0.000    0.054    0.054 ssl.py:813(_create)
        1    0.000    0.000    0.037    0.037 mbcsgroupprober.py:30(<module>)
        1    0.000    0.000    0.817    0.817 client.py:566(_readall_chunked)
